,Признак,коэффициент Спирмана,feature importance
47,L_hsv_full_mean,-0.12776992069466014,0.1747911003373046
75,S_xyz_z_std,0.12748611399010787,0.15233193985038443
273,area_0_30_ellipse_0.15,0.12681656707005953,0.16165532634172491
326,area_2_130_ellipse_0.05,0.125711957310736,0.10863945691980163
66,min_cr6,0.12527368358819166,0.24419600824098928
223,ALAS_sobely2_g_max,0.124044730588166,0.17708502520027
289,S_rgb_b_std,0.1237052897822185,0.17137939097571692
418,ALAS_sobelx_b_max,0.12330586868638209,0.20315229212246122
134,area_2_150_hull_0.75,0.1217733539281962,0.2936950380780736
258,ALAS_sobelx2_b_max,0.12067322361946595,0.1996145699220827
387,S_sobely_r_std,0.11966858319061684,0.16318708968317888
266,ALAS_yuv_u_min,0.11867227631501738,0.25926031529483134
329,I_hsv_s_Q80,-0.11832233008908813,0.14676809588432427
30,I_laplacian_full_Q25,-0.11780831987093991,0.35970141290194346
13,L_hsv_h_std,0.11743569088296109,0.6194750646655243
225,haralick3,-0.11583173227954617,0.24259668979138754
67,L_sobelx8u_r_std,0.11576542046770395,0.29564755684595595
187,S_hsv_full_mean,-0.11138425917209668,0.20580885405680682
281,area_2_110_circle_0.25,0.11117344737690352,0.2343816668928328
146,ALAS_sobely_r_max,0.11029727546983381,0.23927261273794614
313,lbp1,-0.10969919314337,0.12923293709325126
33,L_hsv_h_mean,0.10925354632636358,0.31372206526304924
298,ALAS_xyz_x_mode,0.10913586746042468,0.23348272885846127
102,L_sobely_r_mode,-0.10818768225570315,0.30187895463151715
1,ALAS_yuv_u_std,-0.10655750593352444,1.0966727412537511
285,ALAS_xyz_y_min,0.10587461338518418,0.1767263700621039
267,S_hsv_full_min,-0.10388816117785991,0.14529889717179276
59,S_hsv_h_std,0.10301354000369581,0.31244900758555577
370,S_xyz_full_std,0.1000293867566751,0.17105494947169533
277,S_hsv_v_std,0.09881081980096149,0.43994808405417657
262,L_sobelx8u_full_std,0.09824875622286594,0.19864630998413654
39,area_2_50_ellipse_0.85,-0.09819832640020194,0.3488189733750216
283,S_sobelx_b_Q60,0.09732116583448577,0.23158656335099687
185,ALAS_sobely2_b_max,0.09727172989663066,0.17278873298159933
376,area_2_50_hull_1.0,-0.09703441878004496,0.1399669523129321
216,L_sobely_full_mode,-0.09695252753996467,0.1597540424354942
190,ALAS_sobely_b_max,0.09673425238725741,0.21919585601198902
93,L_hsv_full_max,-0.096721795006456,0.23551797947436634
352,I_hsv_full_Q55,-0.09667364017409805,0.09747450390022534
61,S_hsv_h_Q20,-0.09601281933439318,0.28331509190247556
2,ALAS_yuv_v_std,-0.09564366362937646,0.9438925996218079
394,S_hsv_h_Q5,-0.09534367088764754,0.2777024472164609
184,I_yuv_u_Q70,0.09496504977724506,0.3065002192534401
359,area_2_30_circle_0.35,-0.09327510117978749,0.2181106849690897
362,I_hsv_full_Q60,-0.09284675532891946,0.12476559739683467
191,L_yuv_u_min,0.0911352602871576,0.24037524471123622
373,S_hsv_h_Q15,-0.09097956287675173,0.3103261394870567
14,hu5,-0.09049968511306974,0.4951903034445921
389,area_2_110_ellipse_0.15,0.09003957070489102,0.19848116596757298
152,L_xyz_y_min,0.08886315781255284,0.1976615218033979
270,S_xyz_z_Q5,-0.08883099655455573,0.20733433466248066
104,I_sobelx2_g_mean,0.08729655083112492,0.10364314961551553
147,S_rgb_r_std,0.08573677698113791,0.28288575950534317
155,ALAS_hsv_s_Q5,-0.08502294570655003,0.18405218759307537
320,S_sobely2_full_mode,-0.08491330996150422,0.22030001032231816
111,I_hsv_full_Q50,-0.08459954745054468,0.21001091236015246
217,S_laplacian_g_Q30,-0.08407110877579954,0.10909116197039632
205,I_rgb_b_mode,-0.08373772760553731,0.29037305925423146
144,L_sobelx_r_mode,-0.08303534402295493,0.2647738655674933
162,S_hsv_full_Q65,-0.08262356030660152,0.24145218911234967
198,S_sobely2_b_mode,-0.08097931223467192,0.11333545353821878
308,I_sobelx8u_b_std,0.0809729101326766,0.26438835549914314
264,S_sobelx8u_full_Q95,0.07964406937867902,0.08880279636925173
374,L_sobelx_full_mode,-0.07894003088793392,0.11618784192384109
395,I_laplacian_b_Q20,-0.07801294795846123,0.17590491605095193
333,area_2_50_circle_0.55,-0.07797998966143929,0.17843209898256684
95,L_sobely_g_mode,-0.07712531702942654,0.2645302909036174
173,S_laplacian_full_Q45,-0.07623371629119115,0.18629185963143494
9,ALAS_yuv_v_max,-0.07513166668863197,0.5799112813585481
177,ALAS_sobelx_g_std,0.07485584664165093,0.23909453949179688
65,ALAS_sobelx_b_std,0.07478313909755031,0.2973302207477244
170,L_sobelx8u_b_std,0.07400259735697197,0.12764187289699774
119,I_laplacian_r_mean,0.07159329664121443,0.32754145489499437
248,ALAS_hsv_full_mode,0.07126629738095848,0.13165496461417756
76,L_sobely_b_mode,-0.07049353492984418,0.41901956903178034
288,L_sobelx8u_g_std,0.06933228136531962,0.19645062178657802
230,I_laplacian_g_Q45,-0.06930265090971505,0.1424237627496915
310,L_sobely2_full_mode,-0.06893033216075277,0.2922897742289134
121,I_hsv_h_std,0.06870734470628688,0.2884350933119965
202,I_yuv_u_std,-0.0682187931379076,0.22301106476127702
407,L_rgb_b_std,-0.06769952192154959,0.1853127516801606
5,hu2,-0.06753285233036085,0.8001497838446823
